"Gender","trill","nice","conf","status","age","predictedOrigin","masculinity","speakerID","speaker_gender"
"male",1,5,5,0.334067794060956,4,"Other",2,"M2","male"
"male",1,6,6,0.904978253461912,1,"Other",1,"M1","male"
"male",0,5,5,-0.0975992131503518,2,"Cuenca",2,"F2","female"
"female",1,3,3,-0.69141346578695,2,"Other",4,"F2","female"
"female",0,4,4,1.62906881569488,4,"Loja",3,"M2","male"
"female",1,4,3,-1.06333623588461,4,"Other",3,"F1","female"
"female",0,5,5,1.94439616395218,4,"Loja",3,"M1","male"
"female",0,4,4,-0.376086117529648,3,"Cuenca",3,"F1","female"
"female",1,4,5,1.45298491962723,5,"Loja",2,"M2","male"
"female",1,4,4,0.941818697339917,4,"Quito",4,"M1","male"
"female",0,4,3,-1.06333623588461,2,"Other",3,"F2","female"
"female",1,5,3,-0.807753124740956,3,"Loja",4,"F2","female"
"female",0,6,6,1.51272915674087,4,"Loja",1,"M2","male"
"female",1,6,6,0.135080104757661,4,"Loja",1,"F1","female"
"female",0,6,6,0.194824341871308,3,"Loja",1,"M1","male"
"female",0,5,6,1.02131791241592,4,"Loja",1,"F1","female"
"female",1,5,5,1.08106214952957,3,"Loja",1,"M2","male"
"female",1,5,5,0.510151690128609,3,"Loja",1,"M1","male"
"female",0,6,5,-0.807753124740956,3,"Loja",3,"F2","female"
"female",1,5,5,0.765734801272264,2,"Loja",1,"F2","female"
"female",0,5,3,-0.376086117529648,4,"Loja",1,"M2","male"
"female",1,5,4,-1.06333623588461,2,"Other",1,"F1","female"
"female",0,5,4,0.194824341871308,3,"Cuenca",1,"M1","male"
"female",0,6,4,-0.807753124740956,2,"Cuenca",1,"F1","female"
"female",1,6,2,0.765734801272264,4,"Loja",1,"M2","male"
"female",1,6,3,0.0187404458036547,1,"Cuenca",1,"M1","male"
"female",0,6,2,-0.807753124740956,1,"Other",1,"F2","female"
"female",1,4,3,-0.120503006385993,2,"Loja",3,"F2","female"
"female",0,4,5,0.510151690128609,3,"Cuenca",2,"M2","male"
"female",1,4,4,-0.120503006385993,3,"Quito",3,"F1","female"
"female",0,3,3,0.194824341871308,2,"Quito",3,"M1","male"
"female",0,4,5,0.450407453014963,3,"Loja",2,"F1","female"
"female",1,5,6,0.450407453014963,3,"Cuenca",2,"M2","male"
"female",1,4,6,0.450407453014963,2,"Cuenca",2,"M1","male"
"female",0,4,5,-0.120503006385993,2,"Quito",2,"F2","female"
"male",1,4,3,-1.49500324309592,4,"Cuenca",4,"F2","female"
"male",0,4,4,0.765734801272264,4,"Quito",2,"M2","male"
"male",1,3,4,-0.552170013597301,5,"Cuenca",4,"F1","female"
"male",0,5,5,0.705990564158617,2,"Quito",2,"M1","male"
"male",0,4,4,-0.23684266534,5,"Quito",3,"F1","female"
"male",1,5,5,0.765734801272264,4,"Quito",4,"M2","male"
"male",1,4,3,0.194824341871308,2,"Loja",4,"M1","male"
"male",0,4,5,-0.552170013597301,4,"Other",3,"F2","female"
"male",1,3,4,0.194824341871308,2,"Quito",4,"F2","female"
"male",0,3,5,1.02131791241592,3,"Cuenca",2,"M2","male"
"male",1,3,4,0.0187404458036547,3,"Cuenca",4,"F1","female"
"male",0,4,4,0.135080104757661,3,"Quito",2,"M1","male"
"male",0,3,4,0.0187404458036547,3,"Cuenca",5,"F1","female"
"male",1,4,6,1.02131791241592,3,"Cuenca",2,"M2","male"
"male",1,4,4,0.765734801272264,2,"Quito",4,"M1","male"
"male",0,4,3,-0.492425776483655,3,"Loja",4,"F2","female"
"female",1,3,4,0.194824341871308,2,"Loja",4,"F2","female"
"female",0,4,5,0.882074460226271,4,"Quito",3,"M2","male"
"female",1,4,4,0.626491349082616,5,"Loja",3,"F1","female"
"female",0,5,5,0.941818697339917,3,"Quito",2,"M1","male"
"female",0,4,4,0.450407453014963,5,"Cuenca",3,"F1","female"
